Company,Sales,Close,High,Low,Open,Unix Epoch Time,Volume,Date
Google,1188.10,1188.10,1234.11,1140.14,1214.03,1564632000,28882400,2019-08-01
Google,1219.00,1219.00,1248.30,1163.20,1177.03,1567310400,26899400,2019-09-01
Google,1260.11,1260.11,1299.31,1162.43,1219.00,1569902400,28758300,2019-10-01
Google,1304.96,1304.96,1335.53,1260.50,1265.00,1572580800,24923700,2019-11-01
Google,1337.02,1337.02,1365.00,1279.00,1301.00,1575176400,27357100,2019-12-01
Google,1434.23,1434.23,1503.21,1341.55,1341.55,1577854800,33691600,2020-01-01
Google,1339.33,1339.33,1532.11,1271.00,1462.00,1580533200,37080600,2020-02-01
Google,1162.81,1162.81,1410.15,1013.54,1351.61,1583038800,71392100,2020-03-01
Google,1348.66,1348.66,1359.99,1079.81,1122.00,1585713600,46335100,2020-04-01
Google,1428.92,1428.92,1441.00,1299.00,1328.50,1588305600,31866300,2020-05-01
Google,1413.61,1413.61,1475.94,1347.01,1418.39,1590984000,38828400,2020-06-01
Google,1482.96,1482.96,1586.99,1409.82,1411.10,1593576000,35247000,2020-07-01
Google,1634.18,1634.18,1659.22,1458.65,1486.64,1596254400,37830900,2020-08-01
Google,1469.60,1469.60,1733.18,1406.55,1636.63,1598932800,40567600,2020-09-01
Google,1621.01,1621.01,1687.00,1436.00,1484.27,1601524800,39254200,2020-10-01
Google,1760.74,1760.74,1818.06,1616.03,1628.16,1604203200,35035400,2020-11-01
Google,1751.88,1751.88,1847.20,1699.00,1774.37,1606798800,31465900,2020-12-01
Google,1835.74,1835.74,1934.86,1699.00,1757.54,1609477200,33082700,2021-01-01
Google,2036.86,2036.86,2152.68,1850.93,1853.57,1612155600,29429000,2021-02-01
Google,2068.63,2068.63,2128.81,2010.00,2056.52,1614574800,34794200,2021-03-01
Google,2410.12,2410.12,2452.38,2096.89,2097.95,1617249600,30724700,2021-04-01
Google,2411.56,2411.56,2442.94,2230.05,2402.72,1619841600,25455700,2021-05-01
Google,2506.32,2506.32,2555.92,2382.83,2422.00,1622520000,27432800,2021-06-01
Google,2704.42,2704.42,2800.22,2497.00,2497.00,1625112000,22837700,2021-07-01
Google,2909.24,2909.24,2929.79,2683.67,2709.69,1627790400,18615200,2021-08-01
Google,2665.31,2665.31,2936.41,2660.00,2913.00,1630468800,25258600,2021-09-01
Google,2965.41,2965.41,2982.36,2623.33,2671.09,1633060800,24828600,2021-10-01
Google,2849.04,2849.04,3037.00,2841.32,2963.30,1635739200,22157500,2021-11-01
Google,2893.59,2893.59,2992.10,2805.00,2884.25,1638334800,23954500,2021-12-01
Google,2795.73,2795.73,2932.20,2662.81,2889.51,1641013200,13892800,2022-01-01
Google,2795.73,2795.73,2824.01,2750.00,2750.00,1642194002,1191296,2022-01-14
Netflix,339.50,339.50,358.85,256.58,259.28,1546318800,306616400,2019-01-01
Netflix,358.10,358.10,371.49,336.50,337.18,1548997200,148192100,2019-02-01
Netflix,356.56,356.56,379.00,342.47,362.26,1551416400,144843100,2019-03-01
Netflix,370.54,370.54,384.80,342.27,359.00,1554091200,165079400,2019-04-01
Netflix,343.28,343.28,385.99,341.39,374.00,1556683200,125298300,2019-05-01
Netflix,367.32,367.32,375.00,332.65,343.56,1559361600,111052000,2019-06-01
Netflix,322.99,322.99,384.76,305.81,373.50,1561953600,196652500,2019-07-01
Netflix,293.75,293.75,328.58,287.20,324.25,1564632000,137076700,2019-08-01
Netflix,267.62,267.62,301.55,252.28,290.82,1567310400,175411300,2019-09-01
Netflix,287.41,287.41,308.75,257.01,267.35,1569902400,231556400,2019-10-01
Netflix,314.66,314.66,316.82,281.14,288.70,1572580800,113645900,2019-11-01
Netflix,323.57,323.57,338.00,292.02,314.39,1575176400,124723600,2019-12-01
Netflix,345.09,345.09,359.85,321.20,326.10,1577854800,169874000,2020-01-01
Netflix,369.03,369.03,392.95,346.28,347.24,1580533200,114056000,2020-02-01
Netflix,375.50,375.50,393.52,290.25,373.11,1583038800,201979100,2020-03-01
Netflix,419.85,419.85,449.52,357.51,376.05,1585713600,225111600,2020-04-01
Netflix,419.73,419.73,458.97,397.86,415.10,1588305600,135055800,2020-05-01
Netflix,455.04,455.04,474.01,404.25,418.83,1590984000,117279900,2020-06-01
Netflix,488.88,488.88,575.37,454.00,454.00,1593576000,232206300,2020-07-01
Netflix,529.56,529.56,549.04,466.55,490.86,1596254400,116261900,2020-08-01
Netflix,500.03,500.03,557.39,458.60,532.60,1598932800,118796900,2020-09-01
Netflix,475.74,475.74,572.49,472.21,506.03,1601524800,154302400,2020-10-01
Netflix,490.70,490.70,518.73,463.41,478.87,1604203200,91788900,2020-11-01
Netflix,540.73,540.73,545.50,491.29,492.34,1606798800,77564100,2020-12-01
Netflix,532.39,532.39,593.29,485.67,539.00,1609477200,139988600,2021-01-01
Netflix,538.85,538.85,566.65,518.28,536.79,1612155600,61902300,2021-02-01
Netflix,521.66,521.66,556.99,492.85,545.57,1614574800,90183900,2021-03-01
Netflix,513.47,513.47,563.56,499.00,529.93,1617249600,111573300,2021-04-01
Netflix,502.81,502.81,518.95,478.54,512.65,1619841600,66927600,2021-05-01
Netflix,528.21,528.21,536.13,482.14,504.01,1622520000,78560600,2021-06-01
Netflix,517.57,517.57,557.54,504.66,525.72,1625112000,77219000,2021-07-01
Netflix,569.19,569.19,569.48,505.37,519.00,1627790400,54742300,2021-08-01
Netflix,610.34,610.34,619.00,568.08,569.00,1630468800,82314700,2021-09-01
Netflix,690.31,690.31,690.97,594.68,604.24,1633060800,98565000,2021-10-01
Netflix,641.90,641.90,700.99,640.01,689.06,1635739200,64518400,2021-11-01
Netflix,602.44,602.44,654.52,581.74,649.48,1638334800,59968500,2021-12-01
Netflix,525.69,525.69,609.99,511.88,605.61,1641013200,44378600,2022-01-01
Netflix,525.69,525.69,538.37,511.88,517.60,1642194003,7861109,2022-01-14
Tesla,61.40,61.40,70.40,55.86,61.22,1546318800,878260500,2019-01-01
Tesla,63.98,63.98,64.85,57.75,61.08,1548997200,642750500,2019-02-01
Tesla,55.97,55.97,61.43,50.89,61.39,1551416400,1068967500,2019-03-01
Tesla,47.74,47.74,59.23,46.23,56.52,1554091200,1153736500,2019-04-01
Tesla,37.03,37.03,51.67,36.82,47.77,1556683200,1412994000,2019-05-01
Tesla,44.69,44.69,46.95,35.40,37.10,1559361600,1074853000,2019-06-01
Tesla,48.32,48.32,53.21,44.44,46.04,1561953600,996683500,2019-07-01
Tesla,45.12,45.12,48.90,42.20,48.53,1564632000,668953000,2019-08-01
Tesla,48.17,48.17,50.70,43.67,44.82,1567310400,678876500,2019-09-01
Tesla,62.98,62.98,68.17,44.86,48.30,1569902400,1139913000,2019-10-01
Tesla,65.99,65.99,72.24,61.85,63.26,1572580800,788854000,2019-11-01
Tesla,83.67,83.67,87.06,65.45,65.88,1575176400,1035400000,2019-12-01
Tesla,130.11,130.11,130.60,84.34,84.90,1577854800,2036092500,2020-01-01
Tesla,133.60,133.60,193.80,122.30,134.74,1580533200,2362934000,2020-02-01
Tesla,104.80,104.80,161.40,70.10,142.25,1583038800,2104675000,2020-03-01
Tesla,156.38,156.38,173.96,89.28,100.80,1585713600,1907387500,2020-04-01
Tesla,167.00,167.00,168.66,136.61,151.00,1588305600,1363518000,2020-05-01
Tesla,215.96,215.96,217.54,170.82,171.60,1590984000,1278863500,2020-06-01
Tesla,286.15,286.15,359.00,216.10,216.60,1593576000,1893167500,2020-07-01
Tesla,498.32,498.32,500.14,273.00,289.84,1596254400,1557378400,2020-08-01
Tesla,429.01,429.01,502.49,329.88,502.14,1598932800,1736284800,2020-09-01
Tesla,388.04,388.04,465.90,379.11,440.76,1601524800,833666400,2020-10-01
Tesla,567.60,567.60,607.80,392.30,394.00,1604203200,782598800,2020-11-01
Tesla,705.67,705.67,718.72,541.21,597.59,1606798800,1196346000,2020-12-01
Tesla,793.53,793.53,900.40,717.19,719.46,1609477200,705694800,2021-01-01
Tesla,675.50,675.50,880.50,619.00,814.29,1612155600,522857900,2021-02-01
Tesla,667.93,667.93,721.11,539.49,690.11,1614574800,942452400,2021-03-01
Tesla,709.44,709.44,780.79,659.42,688.37,1617249600,678539700,2021-04-01
Tesla,625.22,625.22,706.00,546.98,703.80,1619841600,625175800,2021-05-01
Tesla,679.70,679.70,697.62,571.22,627.80,1622520000,519921900,2021-06-01
Tesla,687.20,687.20,700.00,620.46,683.92,1625112000,448393900,2021-07-01
Tesla,735.72,735.72,740.39,648.84,700.00,1627790400,381113700,2021-08-01
Tesla,775.48,775.48,799.00,708.85,734.08,1630468800,390101400,2021-09-01
Tesla,1114.00,1114.00,1115.21,763.59,778.40,1633060800,528800500,2021-10-01
Tesla,1144.76,1144.76,1243.49,978.60,1145.00,1635739200,648671800,2021-11-01
Tesla,1056.78,1056.78,1172.84,886.12,1160.70,1638334800,509895900,2021-12-01
Tesla,1049.61,1049.61,1208.00,980.00,1147.75,1641013200,289986700,2022-01-01
Tesla,1049.61,1049.61,1052.00,1013.38,1019.88,1642194004,24310671,2022-01-14
